filepaths,labels
extracted_images/healthy/healthy/healthy.1339.jpg,healthy
extracted_images/healthy/healthy/healthy.27.jpg,healthy
extracted_images/healthy/healthy/healthy.795.jpg,healthy
extracted_images/healthy/healthy/healthy.781.jpg,healthy
extracted_images/healthy/healthy/healthy.959.jpg,healthy
extracted_images/healthy/healthy/healthy.33.jpg,healthy
extracted_images/healthy/healthy/healthy.1305.jpg,healthy
extracted_images/healthy/healthy/healthy.1463.jpg,healthy
extracted_images/healthy/healthy/healthy.971.jpg,healthy
extracted_images/healthy/healthy/healthy.965.jpg,healthy
extracted_images/healthy/healthy/healthy.1477.jpg,healthy
extracted_images/healthy/healthy/healthy.1311.jpg,healthy
extracted_images/healthy/healthy/healthy.756.jpg,healthy
extracted_images/healthy/healthy/healthy.742.jpg,healthy
extracted_images/healthy/healthy/healthy.1488.jpg,healthy
extracted_images/healthy/healthy/healthy.1885.jpg,healthy
extracted_images/healthy/healthy/healthy.597.jpg,healthy
extracted_images/healthy/healthy/healthy.583.jpg,healthy
extracted_images/healthy/healthy/healthy.1891.jpg,healthy
extracted_images/healthy/healthy/healthy.1649.jpg,healthy
extracted_images/healthy/healthy/healthy.1661.jpg,healthy
extracted_images/healthy/healthy/healthy.1107.jpg,healthy
extracted_images/healthy/healthy/healthy.1113.jpg,healthy
extracted_images/healthy/healthy/healthy.1675.jpg,healthy
extracted_images/healthy/healthy/healthy.554.jpg,healthy
extracted_images/healthy/healthy/healthy.1846.jpg,healthy
extracted_images/healthy/healthy/healthy.232.jpg,healthy
extracted_images/healthy/healthy/healthy.226.jpg,healthy
extracted_images/healthy/healthy/healthy.1852.jpg,healthy
extracted_images/healthy/healthy/healthy.540.jpg,healthy
extracted_images/healthy/healthy/healthy.568.jpg,healthy
extracted_images/healthy/healthy/healthy.1729.jpg,healthy
extracted_images/healthy/healthy/healthy.385.jpg,healthy
extracted_images/healthy/healthy/healthy.391.jpg,healthy
extracted_images/healthy/healthy/healthy.1715.jpg,healthy
extracted_images/healthy/healthy/healthy.1073.jpg,healthy
extracted_images/healthy/healthy/healthy.1067.jpg,healthy
